description,established,id,name,organic,resource_url,website
"We are a three-barrel brew house born from the shadows of long tenured Portland restaurant, Philadelphia’s Steaks & Hoagies. The brewery addition was added back in 1994 but operated quietly as Oregon’s smallest micobrewery for many years. With the more recent additions of David Vohden and Cameron Moore, we have refocused our efforts on producing and sharing a constantly changing lineup of fresh quality beers from right here in the Great Pacific Northwest. Vohden oversees all brewery operations which he has met with great success. Most recently of which was a Silver Medal for our Woozy Weizenbock at the Great American Beer Festival. We see our recent efforts bringing exciting results.

We reached completion of a 3,500 sq ft. addition to expand our brew house in the Summer of 2013. Vohden and Moore finished installation of the glycol system just in time to quench the thirsty demands of the 2013 Oregon Brewers Festival with a crowd pleasing Traverse Cherry Wit Bier. In addition to the brew house expansion we have added four 7-barrel fermentation tanks for an eventual all around 7-barrel system upgrade. A Cellar was also added for barrel aging, sours, and other delectable experiments.

Although most of the square footage was utilized for brewing purposes. We were sure to save some space for all you beer drinkers. A mezzanine gives an elevated view down onto the open brewery floor. If you happen to drop by on a brew day you too can enjoy the sweet sensory overload and watch the action (or lack thereof). A beautiful black walnut bar, fully stocked with 13 drafts faucets was added to accompany the additional seating area and to cater to private events. However, the new bar and brewery seating are always open to patrons except in the case of private events. Another 60′ TV was added to the new mezzanine area and we continue to play all major sporting events. Go Blazers!

Some would say our legendary steak sandwiches and two dozen rotating taps are a match made in heaven. Please join us and stop by to see what’s new!",1994,u99e3l,13 Virtues Brewing Co,False,brewery,http://13virtuesbrewing.com/
"History books tell us that local Vermonter and beer enthusiast Ethan Allen was a leader inthe effort to make Vermont the fourteenth star on the U.S. flag in 1791. And those textbooks are right; especially about the 1791 part.

Today, in Franklin County, Vermont, Army veteran Steve Gagner is honoring his home state and passion – brewing great beer – with 14th Star Brewing Co.

14th Star is Steve’s 1,200-square-foot nanobrewery on Lower Newton Street, in St. Albans City.

Nanobreweries make less than four-barrel batches, and as of your eyes hitting this paragraph, there are still less than 100 nanobreweries in America.

What makes 14th Star stand out? Well, it’s about the only brewery in Vermont that’s located above Burlington. Period.

But that’s not it. Not entirely.

You see – this is your beer. Oh, sure, Steve plans on starting you off with one-barrel batches of pale ale, brown ale, and Belgian white. There will be more, of course, but that’s up to you. So tell Steve what style beer you want in your 14th Star growler at: steve@14thstarbrewing.com.
On our end, we are readying to open our doors. Our goal is this July. (Check out our Pint of Progress on our home page.)

We can’t wait to watch you let your hair down and lift your glass, Vermont. We’ll enjoy that. And remember – this is your beer. You enjoy it.",2011,XYOIqp,14th Star Brewing,False,brewery,http://www.14thstarbrewing.com/
"16 Mile Brewing Company, Inc. opened its doors in July 2009 to the public. It is owned and operated by Brett McCrea and Chad Campbell.

The 16 Mile Brewing Company name harkens back to the late 1700’s when Georgetown was still known as Pettijohn’s old field, a rather isolated town, centrally located in Sussex County. The area was “16 miles from anywhere” in the county and was the best place for farmers, merchants, and politicians to meet to conduct official business. Georgetown replaced Lewes as the County Seat when numerous petitions were sent to Delaware’s General Assembly requesting that the move be made to accommodate all county residents. (For more information see “16 Miles from Anywhere: A History of Georgetown, Del., by William J. Wade.)",2009,P8gV9M,16 Mile Brewing Company,False,brewery,http://16milebrewery.com/
,,oR97q7,1859 Central Ranges Brewing Co,False,brewery,
"18th Street Brewery is a brewpub in the Miller Beach neighborhood of Gary, Indiana in late 2013. Conveniently located off the Dunes Highway and the Metra 'Miller' stop, 18th Street specializes in both big and small beers, from 9.5% barrel aged Double Milk Stouts to 4.5% Session Pale Ales. We have a kitchen that specializes in small plates, salads, sandwiches, and seasonal offerings. Our large, open front room is great for families. In January of 2014 Drew Fox was named 'Best New Brewer' in Indiana by  Ratebeer.com. Our Double IPA, SINISTER, was named 'Best Fall Brew in Indiana 2013' by VisitIndiana.com.",2010,wTxSsQ,18th Street Brewery,False,brewery,http://18thstreetbrewery.com/
,,RQNLui,1912 Brewing Company,False,brewery,http://www.1912brewing.com/
"We began building our dream in 2007. We have improved our recipes, gathered feedback, made changes, and sampled our products. We have one concept. We want to Make great beer. Not beer that tastes like a bitter plant, or a leather belt. Not clear beer that has been mass produced and over filtered. Just wonderful, fantastic beer, for the many. All from a very small space. 192 square feet to be exact. We have packed only the essentials into our brewery. We make every batch by hand and we nurture it every step of the way. Great beer is what we work for, and great beer is what we enjoy.",2009,nFgA09,192 Brewing Company,False,brewery,http://www.192brewing.com/
,2014,HQNyhH,1933 Brewing Company,False,brewery,http://1933brewing.com/
"1974 Brewing Company is a nano brewery in planning, founded in 2012. We began brewing in late 2008 on a hobby scale with all grain 5 gallon batches. In late 2011 we moved up to 10 gallon batches. Brewing is not only a hobby but a way of life for us, once we started we just couldn’t seem to stop. We really enjoy the process of making the beer as well the finished product. Some of the success we have had in home brewing competitions has only given us confidence and motivation to take our hobby further. We plan on expanding our system to produce 7-10 barrels per batch in 2012 as well as filing the necessary paperwork to begin a legitimate brewery, distributing our beers to the public.",2012,ujPz4L,1974 Brewing Company,False,brewery,http://www.1974brewingcompany.com/
"Opening scheduled for January 2016.

Being born and raised in White Sulphur Springs, owner Barry Hedrich had a great appreciation for the hardworking, rural lifestyle known to many in the area. With its high elevation and cool evening temperatures,the area is known for its high quality wheat and malting barley. After their children left home, Barry and his wife Chris decided it was a good time to start a new hobby – brewing beer. After a couple of years of testing, (much) tasting, experimenting with doing our own malting and researching the industry, we decided it was time to take the next step and open a brewery.

The name 2 Basset Brewery was born out of the many similarities between basset hounds and our love of a good beer. Bassets are friendly, easy going, very social and they love to relax. Most of all, they make us laugh. These are some of the very same reasons many of us gather with family and friends over a great tasting craft beer.

We are proud to be crafting brews featuring locally grown grains, malting them ourselves and utilizing other Montana ingredients. Owners Barry and Chris Hedrich and their basset hounds Stanley and Leroy look forward to seeing you in beautiful White Sulphur Springs.",2016,qfGVU4,2 Basset Brewery,False,brewery,
Damn Fine Cider. Boldly Crafted in the Pacific Northwest. Fresh-pressed 100% NW apples. No added sugar. Nothing artificial.,2010,ZsEYA4,2 Towns Ciderhouse,False,brewery,http://www.2TownsCiderhouse.com
,,FpccQb,2 Way Brewing Company,False,brewery,
"2 Witches Winery & Brewing Company, located in Danville, Virginia, is a combination farm/urban winery and picobrewery. We are affiliated with 2 Witches Vineyard located in Chatham, Virginia. We hope to open in May 2013.",2012,ALh0q8,"2 Witches Winery and Brewing Company, Inc.",False,brewery,
The 21st Amendment Brewery offers a variety of award winning house made brews and American grilled cuisine in a comfortable loft like setting. Join us before and after Giants baseball games in our outdoor beer garden. A great location for functions and parties in our semi-private Brewers Loft. See you soon at the 21A!,2000,EdRcIs,21st Amendment Brewery,False,brewery,http://www.21st-amendment.com/
"Here at the 23rd Street Brewery, we pride ourselves in creating and offering ales and lagers of exceptional quality. Often in the micro brewing industry, quality is compromised for quantity. We brew handcrafted, small batch beers to ensure freshness is as crisp as it is clean. We use only the finest domestic and imported barley and hops to brew beers of tradition and beers of distinction. The brew house we call home is a 15 barrel Pub Brewing System located on the upper level of the impressive brewery interior. In the past year, we have doubled our production to exceed 1000 barrels (2000 Kegs) per year and have begun distributing to other bars and restaurants throughout Kansas.",2003,V79a57,23rd Street Brewery,False,brewery,http://www.brew23.com/
,,F7Flfn,26 Degree Brewing Company,False,brewery,http://www.26brewing.com/
,,3k6A49,2C - Arte Cervejeira,False,brewery,http://www.artecervejeira.com
"Two Kids Brewing Company is San Diego's newest Nanobrewery! Now open, we're serving the finest in tasty and unusual ales, sans snobby attitude.",2013,FkNXW1,2kids Brewing Company,False,brewery,http://www.twokidsbrewing.com
"We are a micro that will be making beer that is big on flavor and aroma, the way beer should be. There will be several styles and a continuing line of seasonal and special beers that will be produced throughout the year.",,1ZnmlG,2nd Shift Brewing Co,False,brewery,http://www.2ndshiftbrewing.com/
,,vdEZ9j,2nd Story Brewing Company,False,brewery,http://www.2ndstorybrewing.com/
,,VBusEz,2SP Brewing Company,False,brewery,http://www.2spbrewing.com/
"3 Beards Beer Company enables undiscovered artisan brews from all over the world to be locally brewed and freshly distributed. We focus on talented individuals who have the desire, but not necessarily the means, to share their creations with other enthusiasts.",2010,Ya599O,3 Beards Beer Company,False,brewery,http://www.3BeardsBeer.com
"3 Daughters Brewing will be opening fall of 2013 with several exciting new craft beers. With our 30 barrel brewhouse, we will have the capacity to serve the Tampa Bay market new and innovative flavors in our Beach Blonde Ale, Brown Pelican Dunkelweizen and Summer Storm Stout. Keep an eye out for the 3DB brand in your local restaurant and stay tuned for the opening of our tasting room coming soon.",,7i2zEQ,3 Daughters Brewing,False,brewery,http://3daughtersbrewing.com/
"Drie Fonteinen is the only remaining traditional geuze blender in Belgium, using only 100% spontaneously fermented lambik beer, aged in oak casks, with no artificial sweeteners or other additives. The blendery is connected to the very popular Drie Fonteinen Restaurant in Beersel, on the outskirts of Brussels. The proprietor, Armand Debelder, buys pure lambik from three breweries in Belgium, ages them in oak, and blends them, employing the skill, knowledge, and supreme passion for real geuze that his father handed down to him. Drie Fontenein’s Geuze and fruit Lambiks (cherry, raspberry) are rare, highly prized, and indisputably among the best of Belgium.",1887,qxAQSJ,3 Fonteinen Brouwerij Ambachtelijke Geuzestekerij,False,brewery,http://www.3fonteinen.be/index.htm
"The mission of 3 Freaks brewery is to offer small batch hand crafted beer that is truly flavorful. This will be provided to our craft beer family in a laid back atmosphere where we love to talk beer. And yes, you are part of the family. We are a humble brewery and don't have all the answers but we still love to talk beer.",,WFl75R,3 Freaks Brewery,False,brewery,http://3freaksbrewery.com
"We strive to make a quality, flavorful brew that all tastebuds will enjoy!",2012,YMxo1d,3 Guys and a Beer'd Brewing Company,False,brewery,http://www.3guysandabeerd.com/
"We will be opening the restaurant Friday, August 24, preparing for the NY brewery license after. 

We will offer fresh meats both outside in the BBQ and inside the restaurant. We will use local produce as much as we can, from local Finger Lakes farms. 

We will strive to be family-friendly in price & atmosphere, offering local favorites (BBQ etc) and quality musical entertainment.

Smoked meats, handmade sausage & cheese, homemade pasta & flatbreads.

Craft — Flavor — Quality",,CVl8by,3 Herons Brewing Company,False,brewery,http://www.3hbc.com/
,,z9z8Z4,3 Nations Brewing Co.,False,brewery,http://threenationsbrewing.com/
"3 Ravens began in 2003 out of necessity, when a local hotel stopped serving traditional English style cask conditioned 'Real Ale' from beer engines.

Faced with a critical lack of supply, a group of passionate engineers (led by home brewer Ben Pattison), built a microbrewery and accompanying bar downstairs and began handcrafting a range of their own ""real ales"" as small batch 300 litre brews. Hailed by the engineers and beer judges alike for their robust flavour, the ales received immediate return, taking Silver and Bronze medals at the Australian & International Beer Awards. 3 Ravens hit the shelves of local restaurants and bars and demand soon outgrew supply. In 2005, the brewery was upgraded to 1200 litres to help service a growing list of stockists and a swag of thirsty engineers!",2003,ul5arW,3 Ravens Brewing,False,brewery,http://www.3ravens.com.au/
"All families have their stories: tales of grandparents and great-grandparents and the incredible things they accomplished, or lived through, or overcame. My family was no different. I grew up hearing stories that cascaded across a broad plain of topics, but the ones that fascinated me most centered around the Kingsbury Breweries.

Back in 1926, the Kingsbury Breweries, then known as the Gutsch Brewery, declared bankruptcy. It was a tough time for breweries across the country as Prohibition was in full effect. Many breweries failed during that time, and the Gutsch Brewery was on its way to joining them. It was at this time that my family took the helm of the brewery. Soon after, they changed the name to the Kingsbury Breweries, expanded coast-to-coast, and turned the brewery into what we remember it as today.

I grew up hearing stories from my father, who, as a child with his father, would go around the various Kingsbury Breweries, see the brewers hard at work, and watch the customers enjoy a beer in the Ratskellar. This is where my interest was first piqued by the great world of beer. Many years later, thanks to a brilliant gift on my wife’s part, I started making my own beer. From that point forward there was no turning back. The hobby turned into a passion, which turned into an obsession, which turned into quitting my day job and opening a brewery.

This is my Really Cool Waterslide - my choice to take a dream and make it my reality. Thank you to all those who have helped me get here.

- Grant Pauly, 3 Sheeps Brewing",2012,Hw7H52,3 Sheeps Brewing Co,False,brewery,http://www.3sheepsbrewing.com
three sons,,rQyZpE,3 Sons Brewing Co.,False,brewery,http://www.3sonsbrewingco.com/
"3 Stars Brewing is a DC based production brewery founded by Mike McGarvey and Dave Coleman to provide the community with great, fresh, local craftbeer. 

We are looking forward to opening our doors in 2011. In doing so, we will proudly brew beers that push the limits of conventional brewing while still providing our customers with great, fresh, local craft beers...contact us at info@3starsbrewing.com",2010,ucVIMa,3 Stars Brewing Company,False,brewery,http://3starsbrewing.com/
"300 Suns Brewing was really just an idea brought up years ago, that kept surfacing every time a brewery was toured, a GABF was attended, a new craft beer was tasted, a bottle of homebrew was shared on the back deck in the cool summer evening air. It was just a dream and one day (gulp), we worked up the nerve to make it a reality. We wanted to put our time and our work into something that brought joy to others the way those moments brought joy to us. And we wanted to give our community very meaningful ways that they could become part of the shaping of our brewery.",2014,x4vqAl,300 Suns Brewing,False,brewery,http://www.300sunsbrewing.com
,,9MrbND,303 Brewing Company,False,brewery,http://www.303brewing.com/
"A specialty brewery in San Diego, California. Dedicated to bringing new and exciting craft beer and constantly updating its selection.",,A6QHAU,32 North Brewing Co.,False,brewery,http://www.32northbrew.com/
"Our vision was born out of enjoyment for the binding elements of life. The spirit of community sharing; Drink, food, conversation, space, and ideas. We carry a strong appreciation for the boundless limits created by hard work. We’re influenced by the natural elements of our surroundings, fueled by creative thinking, and driven to make the highest quality product.",,DqlySI,33 Acres Brewing Company,False,brewery,http://www.33acresbrewing.com
"The 350 Brewing Company has spawned from the ashes of our failed Collegiate careers at Northern Illinois University. Let me explain. 350 Augusta Ave. was our address in Dekalb, IL. At the time, your founders Todd and Erik spent more time on projects like way below average punk rock bands in the attic, and a Hardcore Wrestling Federation called WCVF (this took place in our kitchen), instead of focusing on classes like Humanities 227 in DuSable Hall. I mean, have you ever choke slammed one of your best friends into an oven pre-heated to ""550 degrees""? Well i have, and that was just a random Wednesday night. This raw energy (stupidity) and creativity is what eventually drew us to the Craft Beer scene. That’s what craft beer is…a creative and fresh twist on a beverage that has been mass produced and shoved down our throats for much too long (carefully stepping down from soapbox). Why not name our Brewery after the point in our life when we were most creative? Well…..we did. It was during these times we were also introduced to good, quality beer.

Once NIU had enough of our shenanigans, Erik went on to continue his education while I submerged myself into the cesspool known as corporate America. I feel dirty just talking about it. Over the last decade, my soul has been slowly rotting and exiting my body so there was a need for this creative juice to be squeezed once again. Since wrestling and punk rock was now out of the question, brewing beer quickly became that much needed release from the Groundhog Day that had become the norm for us. Erik like most homebrewers started out brewing with extract several years ago and quickly rose to the challenge of all-grain batches. Erik, the 350 Head brewer, has been very successful when entering brewing competitions walking away with multiple awards for his Porter and Patersbier. Myself on the other hand have had a love for flavorful craft beer for many moons, and once I learned of Erik’s brewing expertise years ago, I too became emerged in this brewing lifestyle. It was a match made in heaven. Erik brewed awesome beer, and I was awesome at drinking and sharing that beer!!! 

From that point on things just sort of clicked and for the last 2 years Erik and I have been researching and concocting this master plan of opening a brewery. The time has come. We want all of you to enjoy this journey with us. Tinley Park has always been our #1 choice for the 350 Brewing Company. Downtown Tinley Park embodies the spirit of 350. With great electricity in the downtown area, coupled with an amazing artistic feel, will definitely pair well with our vision of always making sure a visit to our brewery is an interesting experience. We feel Tinley Park is ready for a neighborhood brewery. It really was an easy decision based on Tinley Park’s sense of community and passion for supporting local products.

We are looking forward to joining the family of incredible Illinois Brewers. We should all thank our lucky stars that we live in a state with such high quality Breweries.",2013,W3pb09,350 Brewing Company,False,brewery,http://350Brewing.com
"We started out years ago brewing in our garage. Friends and family would always come by to hang out, drink our beer, socialize and watch whatever game was on. Soon our garage was filled with so many people we decided to find a bigger one and open it up to everyone! We took a chance and opened a nano-brewery and tasting room. Now we can offer our beer to current and future friends in our community! Visit our website for our beer menu, more info and updates. www.38statebrew.com

We're located in Littleton, Colorado. So whether you're a local or just passing through, please stop by, take a load off and sample some of our tasty brews. Trust us... you will not be disappointed! Cheers!!",2012,N101SS,38 State Brewing Company,False,brewery,http://38statebrew.com
"A small brewery and taproom in Worcester, Massachusetts.",2013,zZVmWp,3Cross Brewing Company,False,brewery,http://3crossbrewing.com
"Historians sometimes disagree as to the origin of the 3docs, but all agree on their mission to bring an impressive beer and spirits selection, while enjoying great live music, is a noble endeavor. Each member of the 3docs has been trained at birth to be an expert in the arts of liquid refreshment, brethren of the oldest and most prestigious society in the world — a society that is so secret, if it were revealed to you, the next thing you would hear would be a knock at the door, which would be followed by eternal enlightenment. But alas, I have said to much. To know the 3docs is to know their heart. Just as cavemen enjoyed fire, the 3docs hope that you will enjoy 3docs Brew House.",,AvxLqi,3docs BrewHouse,False,brewery,http://3docsbrewhouse.com/
,2015,Q21IU2,3rd Turn Brewing,False,brewery,http://3rdturnbrewing.com
"3rd Wave Brewing Co. is a dream between to friends who love the beach and love to brew beer. We hope you visit us often and enjoy Good Friends, Good Waves, Great Beer!",2012,9gBauy,3rd Wave Brewing Co.,False,brewery,http://3rdwavebrewingco.com/
"4 Brothers Custom Blended Craft Beer evolved from a combination of passion, innovation, experimentation, configuration and fermentation; followed by extensive libation and imbibition. Yep, brewing blended beer is damn hard work. Especially the tasting part. Cheers for Libations!

Until we 4 Brothers started the process of evolving our avocation into our vocation, there really hasn't been a true innovation in the beer industry in years. Maybe since the monks first put their quills to parchment and recorded their initial beer recipes.

IPAs, Porters, Pilsners, Lagers, Browns, Reds, Blondes. All magnificent purebreds. 4 Brothers is the World Class Custom Blended Craft Beer, combining the best qualities of each.

Our signature beer, Sibling Rivalry, combines the taste profiles of a darker beer, a lighter beer and a hoppier beer to produce an incredibly drinkable and delicious beer.

4 Brothers custom blended craft beers are perfect for enthusiasts, fun-lovers and those who don't take themselves too seriously. Yep; drinkability, flavor and authenticity. And we think that is something to shout about, despite the monk's vow of silence.",2012,rAznrp,4 Brothers Blended Beer,False,brewery,http://www.4brothersblendedbeer.com/
"4 Hands Brewing Company, located in the LaSalle Park neighborhood, will provide the craft beer enthusiast a handcrafted portfolio inspired by the American craft movement that pushes the limits of creativity. Our barrel -aging program will produce a truly unique line on beers. The use of wine and spirit barrels containing an array of fruit, herbs, and spices in conjunction with wild yeast strains will enhance the flavors to produce a one of a kind beer.",2011,eSpMPr,4 Hands Brewing Company,False,brewery,http://www.4handsbrewery.com/
"Rumour has it that you can’t keep an old monk down on the monastery once his yeast has gone viral.

Say what? Are you asking yourself, “What the hell are they talking about?”

processIt goes like this. British monks loved to put their bald heads together, eat gruel and make killer good beer. Let’s face it. This was the Middle Ages, the insulation in those drafty monasteries sucked, so beer making kept them busy, and after a few pints, who gave a damn about the cold.

But these dudes were on to something. Using only barley, wheat, hops and pure water and being tight-assed about things like purity (they were monks after-all), they developed a system for making beer that has stood the test of time. And you thought ancient purity laws has something to do with chastity.

That same British monk-inspired beer yeast begat yeast off-spring. It is from this very same yeast that we make our beers. How’s that for a DNA profile?

But we’ve taken things a step further. We use the Peter Austin Brick Kettle Brewing System. For you non-beer geeks Peter Austin was The Granddaddy High Brew Master of Microbrewing. This was the man who started it all.

The Peter Austin system is a direct-fired, brick clad, copper whirlpool and hop percolator, and you cannot buy it at Costco when you get a Vitamix. The Austin system is a rugged, reliable and easy to operate, clean and maintain.

There are more than 100 Peter Austin Brewing Systems installed worldwide, but Four Mile Brewery is the only brewery in Western North America using his system.

Although Peter Austin has left this mortal coil for a beer garden in the sky, his gifted protégé carries on his vision.

Alan Pugsley is our Brew Master at Four Mile. Pugsley is not just our brew master. He travels around waving his frothy magic wand amongst all his other projects around the world. What is distinctive to Alan’s process is his know-how when developing beer recipes. His recipes honour true British beer making while masterfully tweaking things to incorporate regional ingredients while developing taste profiles that appeal to local palates.

As Peter Austin taught Alan Pugsley, so too did Pugsley teach our own resident brewer, Doug White. White is part of the family clan at Four Mile. In 1985 he headed off on a beer quest walk-about.

He got as far as England, Ringwood Brewery and Alan Pugsley. He apprenticed with them, and then, upon his return, took further training the University of California, David Campus, in brewing sciences. For White, craft brewing is a hands-on art form, and the proof, dear drinker, can be worshipped from dainty sip to gusto guzzle.",,GSkOGp,4 Mile Brewing Co.,False,brewery,http://www.4milebrewingco.com
"The 4 Noses Brewery is a family owned and operated craft brewery and tasting room. 4 Noses has a passion for creatively brewing our unique interpretation of classic styles. Using ingredients from around the world, 4 Noses combines traditional styles with nontraditional flavor profiles to give the beers our own distinct personality.",,Ucc6jp,4 Noses Brewing Company,False,brewery,http://4nosesbrewing.com/
"4 Paws Brewing LLC is a microbrewery established in Chicago, IL. The brewery will be located in the Uptown/Edgewater neighborhood at a site to be determined. 4 Paws is hoping to be fully operational by 2013!

We believe in our company, what we stand for, and most of all the beers we serve. We would never make anything we wouldn't drink just to turn a profit and we would never say anything or do anything to compromise our core beliefs. We hope that our supporters and friends join us in believing in 4 Paws too!

So why 4 paws you might ask? The short answer is our little dog Sadie. Sadie is a rescue dog that we adopted over Memorial Day weekend of 2010. She's a big part of who we are and what we're all about. So that's how we got our name, but what are we all about?",2011,j4bzi7,4 Paws Brewing,False,brewery,http://4pawsbrewing.com/
"“Handcrafted beer brewed naturally” means in a nutshell that when you drink our beer you are getting the best of natures goodness.

Drink beer, make it good beer, sip it slowly, so your tastebuds dance in your mouth.",2008,086VkE,4 Pines Brewing Company,False,brewery,http://www.4pinesbeer.com.au/
Coming January 2015,2014,UrP3el,4 Seasons Brewery,False,brewery,http://www.4seasonsbeer.com/
"Forty Arpent is a Louisiana Brewery using traditonal brewing techniques, with local ingredients, to make new flavor profiles uniqe to the Gulf Coast. Our take on an Irish Red Ale (Creole Red Bean And Rice Ale) will truly make Monday's Special something to look forward to.",2012,O0JDg5,40 Arpent Brewing Company,False,brewery,http://40arpentbrewery.com
Currently in planning.  For info contact 40NorthBrewing@gmail.com,2011,jxEkl2,40 North Brewing,False,brewery,http://www.40NorthBrewing.com
,,FcVHIq,405 Brewing Co.,False,brewery,http://www.405brewing.com/
406 Brewing Company with brewer Matt Muth,2011,RLc3kq,406 Brewing Company,False,brewery,http://www.406brewingcompany.com/
,,cdkpyx,41 Oaks Brewing,False,brewery,http://www.41oaks.com/
"Certain locations around the world hold within them an unspoken power. They’re where wars were fought, fortunes lost – and found – and where legacies are made.

And, these places happen to be connected by a common thread. Unseen to the naked eye, yet felt in its magnetic persuasion. It is the 42nd Parallel. Crossing Russia, Italy, France, and Spain. And Great American cities like Boston, Detroit, and Buffalo. It’s the border of California and Oregon, New York and Pennsylvania, and, in many instances, countries including the United States and Canada.

And when it comes to beer, the 42nd parallel is unparalleled as well. Some of the world’s best hops grow along it, and in the late 1800’s and early 1900’s, it’s where New York State hops grew bountiful and full-bodied. This tradition – and the legacy of arguably the most important parallel on earth – have found a new home, and a new future, here: at 42 North.",2015,HnlE79,42 North Brewing Company,False,brewery,http://42northbrewing.com/
"Owners David and Brenda Simmons had a plan to expand their winery business with a restaurant. Several of the wine customers are also beer drinkers. What better way to satisfy all customers than to offer fresh locally produced beer. Opening in Sept. of 2012, 450 North Brewing Company will open as a Brewpub with a full service restaurant.",,ExTe8O,450 North Brewing Company,False,brewery,http://www.450northbrewing.com/
,2011,k570yD,49th State Brewing Co,False,brewery,http://www.49statebrewing.com
"Welcome to Gresham's favorite locally-owned brew pub and restaurant! Come check out our state of the art facility in the heart of downtown Gresham on the corner of 4th and Roberts. Whether you come for our locally brewed beer, our family-friendly restaurant, our incredible sports bar, or our unparalleled meeting space perfect for private parties, rehearsal dinners, meetings and more, 4th Street Brewing is the perfect choice for any occasion.",,3Cwn6s,4th Street Brewing Co,False,brewery,http://www.4thstreetbrewing.com/
"Texas' first worker-owned cooperative brewery, opening soon. Come join us as we craft new faces for traditional styles and bring radical brewing to the forefront of the Texas craft beer scene. When all other beers fail to intrigue, try a 4th Tap.",,a9svue,4th Tap Brewing Cooperative,False,brewery,http://4thtap.coop/
Microbrewery with a cafe to feature our wide range of beer styles matched with local organic eats.,2010,YcEXhH,4th Way Brewing Company,False,brewery,http://www.4thwaybrewingco.com/
"5 Points Brewing Co. is located at the Historic Mission Brewery Plaza in San Diego. Built in 1913 as the Mission Brewing Company, the brewery operated until the eve of Prohibition in 1919. 5 Points Brewing Co. has restored the brewing tradition at this great location and is proud to serve fresh Ales and Lagers to thirsty craft beer enthusiasts. We keep 10 brewery fresh beers on tap at all times with seasonal and specialty beer available throughout the year. Our tasting area is located in the brewery so you can enjoy a real craft beer experience, right where it happens! Our team looks forward to sharing our brewery and beer with you, Cheers!",,xXnhis,5 Points Brewing Co,False,brewery,http://www.5pbc.com/
